auc_pr,auc_roc,n,n_pos,method,kind,seed,train_frac,mae,rmse,r2
0.9395178076859118,0.9736646433363391,9295,2661.0,RF[all],cls,0,0.5,,,
,,9295,,RF[all],reg,0,0.5,22.700423734693874,70.54910697977355,0.2644047645567166
0.7008115536985587,0.9011830744039254,9295,2661.0,RF[outlier],cls,0,0.5,,,
,,9295,,RF[outlier],reg,0,0.5,39.57351928962568,93.1836536892516,-0.2833211031291023
0.9224938998571574,0.9608669005749366,9295,2661.0,RF[agg],cls,0,0.5,,,
,,9295,,RF[agg],reg,0,0.5,19.981726405062222,72.71100289047669,0.21863107435190854
0.844607189595512,0.9210827813898022,9295,2661.0,persist[>0],cls,0,0.5,,,
,,9295,,persist[×3],reg,0,0.5,22.423883808499195,89.08933570533247,-0.17302510597370024
0.28628294782140934,0.5,9295,2661.0,mean_baseline,cls,0,0.5,,,
,,9295,,mean_baseline,reg,0,0.5,37.14254408644279,82.34359046185952,-0.002110160819344342
0.9374418956884929,0.9647908360954578,7436,2566.0,RF[all],cls,1,0.6,,,
,,7436,,RF[all],reg,1,0.6,28.467969225097228,80.10229227662509,0.22868985922427976
0.6576076302474526,0.8570352949084619,7436,2566.0,RF[outlier],cls,1,0.6,,,
,,7436,,RF[outlier],reg,1,0.6,49.632862894042574,107.17980323476995,-0.3809090100626644
0.9133237250590147,0.9496373761445277,7436,2566.0,RF[agg],cls,1,0.6,,,
,,7436,,RF[agg],reg,1,0.6,22.024619726222355,77.8709081680221,0.2710636097196394
0.8477144642517592,0.9140281776700847,7436,2566.0,persist[>0],cls,1,0.6,,,
,,7436,,persist[×3],reg,1,0.6,27.52353415814954,98.73037285969019,-0.17176549924022289
0.34507799892415275,0.5,7436,2566.0,mean_baseline,cls,1,0.6,,,
,,7436,,mean_baseline,reg,1,0.6,37.62925908039079,91.35543937039476,-0.0032472403825505314
0.9333323601060725,0.959780980155279,5577,2103.0,RF[all],cls,2,0.7,,,
,,5577,,RF[all],reg,2,0.7,44.068992919319065,92.62665554723505,-0.4614351083348558
0.6806969615807112,0.8552169762690632,5577,2103.0,RF[outlier],cls,2,0.7,,,
,,5577,,RF[outlier],reg,2,0.7,44.16755282737286,87.93155025362077,-0.3170341297440775
0.8873043758692805,0.9158433506866168,5577,2103.0,RF[agg],cls,2,0.7,,,
,,5577,,RF[agg],reg,2,0.7,81.06028773277389,191.88059016282625,-5.271474498769334
0.8456886551640044,0.9086922046554105,5577,2103.0,persist[>0],cls,2,0.7,,,
,,5577,,persist[×3],reg,2,0.7,25.22951407566792,84.07405459419806,-0.20401404870370787
0.37708445400753093,0.5,5577,2103.0,mean_baseline,cls,2,0.7,,,
,,5577,,mean_baseline,reg,2,0.7,36.0397232868785,76.63354963395108,-0.0003349769984102302
0.9628574338336264,0.9714289884560537,3718,1685.0,RF[all],cls,3,0.8,,,
,,3718,,RF[all],reg,3,0.8,23.073586632322574,55.98645097562305,0.5782794968429984
0.7120214015439823,0.8316056579786636,3718,1685.0,RF[outlier],cls,3,0.8,,,
,,3718,,RF[outlier],reg,3,0.8,40.46744186866012,85.44250870699891,0.01778441138865061
0.9273033662831072,0.9386852833295141,3718,1685.0,RF[agg],cls,3,0.8,,,
,,3718,,RF[agg],reg,3,0.8,29.31572911717573,87.79459559705738,-0.03703736664025081
0.8846203765364576,0.9181705129458885,3718,1685.0,persist[>0],cls,3,0.8,,,
,,3718,,persist[×3],reg,3,0.8,28.416083916083917,88.26934274868348,-0.04828319937781367
0.45320064550833783,0.5,3718,1685.0,mean_baseline,cls,3,0.8,,,
,,3718,,mean_baseline,reg,3,0.8,38.818642048149215,86.71610221720074,-0.011715344829095642
0.9857162651824097,0.9792311173031352,1859,1085.0,RF[all],cls,4,0.9,,,
,,1859,,RF[all],reg,4,0.9,26.382128644546988,64.52192795687606,0.612554346980594
0.9613033200982888,0.954918491527644,1859,1085.0,RF[outlier],cls,4,0.9,,,
,,1859,,RF[outlier],reg,4,0.9,44.87886299448875,100.75581137684466,0.05520773244836985
0.9834600029411957,0.9759356505793116,1859,1085.0,RF[agg],cls,4,0.9,,,
,,1859,,RF[agg],reg,4,0.9,25.804015359485536,75.07276877328692,0.47548128599578576
0.9339268003249754,0.9338912108979626,1859,1085.0,persist[>0],cls,4,0.9,,,
,,1859,,persist[×3],reg,4,0.9,35.29101667563206,103.9155737923836,-0.004979957987010231
0.5836471221086605,0.5,1859,1085.0,mean_baseline,cls,4,0.9,,,
,,1859,,mean_baseline,reg,4,0.9,46.04574295880622,106.14355942864556,-0.04853616733824628
